Date,high,low,open,close,day_trend,label
2021-01-04,540,528,530,536,0,1
2021-01-05,542,535,536,542,1,1
2021-01-06,555,541,555,549,1,1
2021-01-07,570,553,554,565,1,1
2021-01-08,580,571,580,580,1,1
2021-01-11,584,574,577,584,1,1
2021-01-12,597,582,583,591,1,1
2021-01-13,605,593,595,605,1,-1
2021-01-14,597,587,587,592,-1,1
2021-01-15,625,601,621,601,1,1
2021-01-18,608,594,608,607,1,1
2021-01-19,632,613,618,627,1,1
2021-01-20,650,631,633,647,1,1
2021-01-21,679,640,640,673,1,-1
2021-01-22,665,649,649,649,-1,-1
2021-01-25,646,626,642,633,-1,-1
2021-01-26,640,610,632,617,-1,-1
2021-01-27,625,611,618,615,-1,-1
2021-01-28,608,598,600,601,-1,-1
2021-01-29,619,591,619,591,-1,1
2021-02-01,612,587,595,611,1,1
2021-02-02,638,622,629,632,1,-1
2021-02-03,642,630,638,630,-1,-1
2021-02-04,632,620,626,627,-1,1
2021-02-05,641,631,638,632,1,1
2021-02-17,668,660,663,663,1,-1
2021-02-18,665,656,664,660,-1,-1
2021-02-19,657,647,656,652,-1,-1
2021-02-22,662,650,660,650,-1,-1
2021-02-23,643,633,641,641,-1,-1
2021-02-24,636,625,627,625,-1,1
2021-02-25,636,628,636,635,1,-1
2021-02-26,618,606,611,606,-1,
