Date,high,low,open,close,volume,Adj Close,MA5,MA10,k,d,WILLR5,WILLR10,MACD,MACDSIGNAL,MACDHIST,s,day_trend,label
2021-01-04,540,528,530,536,38770328,533.8140258789062,,,,,,,,,,,0,1.0
2021-01-05,542,535,536,542,34411866,539.78955078125,,,,,,,,,,0.011194029850746268,1,1.0
2021-01-06,555,541,555,549,53030554,546.760986328125,,,,,,,,,,0.012915129151291513,1,1.0
2021-01-07,570,553,554,565,51166782,562.6957397460938,,,,,,,,,,0.029143897996357013,1,1.0
2021-01-08,580,571,580,580,59563555,577.6345825195312,554.4,,,,-0.0,,,,,0.02654867256637168,1,1.0
2021-01-11,584,574,577,584,48810990,581.6182861328125,564.0,,,,-0.0,,,,,0.006896551724137931,1,1.0
2021-01-12,597,582,583,591,50232426,588.5897216796875,573.8,,,,-10.714285714285714,,,,,0.011986301369863013,1,1.0
2021-01-13,605,593,595,605,62662393,602.5325927734375,585.0,,,,-0.0,,,,,0.023688663282571912,1,-1.0
2021-01-14,597,587,587,592,75288477,589.5856323242188,590.4,,83.68347338935574,92.18020541549953,-38.23529411764706,,,,,-0.021487603305785124,-1,1.0
2021-01-15,625,601,621,601,92010500,598.5489501953125,594.6,574.5,71.56862745098039,83.89355742296918,-47.05882352941176,-24.742268041237114,,,,0.015202702702702704,1,1.0
2021-01-18,608,594,608,607,45726476,604.5244750976562,599.2,581.6,57.61513907888736,70.95574663974115,-41.86046511627907,-20.0,,,,0.009983361064891847,1,1.0
2021-01-19,632,613,618,627,50672866,624.44287109375,606.4,590.1,66.65653341439935,65.28009998142234,-11.11111111111111,-5.4945054945054945,,,,0.032948929159802305,1,1.0
2021-01-20,650,631,633,647,82066422,644.361328125,614.8,599.9,80.75550633690169,68.34239294339612,-4.761904761904762,-3.0927835051546393,21.656295739766847,19.83898210757718,1.8173136321896664,0.03189792663476874,1,1.0
2021-01-21,679,640,640,673,89019137,670.2553100585938,631.0,610.7,92.35605353252413,79.92269776127505,-7.0588235294117645,-5.555555555555555,25.581862619854178,22.13613431248798,3.445728307366199,0.0401854714064915,1,-1.0
2021-01-22,665,649,649,649,125179403,646.3531494140625,640.6,617.6,84.2950513538749,85.80220374110023,-35.294117647058826,-28.57142857142857,22.536301365365148,22.296201133638846,0.24010023172630213,-0.03566121842496285,-1,-1.0
2021-01-25,646,626,642,633,93050133,630.4183959960938,645.8,622.5,62.65002970885325,79.76704486508407,-69.69696969696969,-47.422680412371136,17.085007265015633,20.21172358618956,-3.1267163211739266,-0.02465331278890601,-1,-1.0
2021-01-26,640,610,632,617,100153482,614.483642578125,643.8,625.1,35.051280064067804,60.66545370893197,-89.85507246376812,-67.39130434782608,10.651876709369503,16.387784835461538,-5.735908126092035,-0.02527646129541864,-1,-1.0
2021-01-27,625,611,618,615,59985191,612.4918212890625,637.4,626.1,15.898111550285483,37.86647377440216,-92.75362318840581,-69.56521739130434,6.194297817843221,12.310390028414211,-6.11609221057099,-0.0032414910858995136,-1,-1.0
2021-01-28,608,598,600,601,96447533,598.5489501953125,623.0,627.0,7.2896387627082175,19.413010125687148,-95.52238805970148,-91.76470588235294,1.266267039565605,7.892740832874769,-6.626473793309164,-0.022764227642276424,-1,-1.0
2021-01-29,619,591,619,591,90745237,588.5897216796875,611.4,626.0,3.9079962506309225,9.03191552120819,-99.99999999999999,-100.0,-3.013644720680645,3.5301866114526037,-6.543831332133249,-0.016638935108153077,-1,1.0
2021-02-01,612,587,595,611,67462398,608.5081176757812,607.0,626.4,16.586876936074365,9.261503983137816,-54.71698113207547,-73.91304347826086,-2.1351938795617116,1.2640344150468774,-3.399228294608589,0.0338409475465313,1,1.0
2021-02-02,638,622,629,632,78429188,629.4224853515625,610.0,626.9,44.50610432852388,21.66699250507637,-11.76470588235294,-51.086956521739125,1.6551849961736025,1.4204946474975675,0.234690348676035,0.03436988543371522,1,-1.0
2021-02-03,642,630,638,630,48738970,627.4306640625,613.0,625.2,70.56671038912994,43.88656388457604,-21.818181818181817,-53.26086956521739,3.3193198377157387,2.180024723584836,1.1392951141309027,-0.0031645569620253164,-1,-1.0
2021-02-04,632,620,626,627,46371900,624.44287109375,618.2,620.6,79.71479500891267,64.9292032421888,-27.27272727272727,-48.717948717948715,3.571313397483209,2.7365401931441853,0.8347732043390237,-0.004761904761904762,-1,1.0
2021-02-05,641,631,638,632,53267273,629.4224853515625,626.4,618.9,77.5757575757576,75.9524209912667,-18.18181818181818,-23.728813559322035,4.24989695144825,3.341882896465811,0.9080140549824387,0.007974481658692184,1,1.0
2021-02-17,668,660,663,663,107614290,660.2960815429688,636.8,621.9,81.37626262626266,79.55560507031095,-10.416666666666668,-6.172839506172839,9.05943362019002,5.628903185955495,3.4305304342345257,0.0490506329113924,1,-1.0
2021-02-18,665,656,664,660,53109010,657.3082885742188,642.4,626.2,84.9116161616162,81.28787878787878,-16.666666666666668,-9.876543209876543,10.679215220098172,7.649027999612565,3.0301872204856064,-0.004524886877828055,-1,-1.0
2021-02-19,657,647,656,652,50279585,649.3409423828125,646.8,629.9,79.86111111111114,82.0496632996633,-33.333333333333336,-19.753086419753085,9.703386079436086,8.470771231541974,1.2326148478941121,-0.012121212121212121,-1,-1.0
2021-02-22,662,650,660,650,36474610,647.3490600585938,651.4,634.8,67.11711711711715,77.2966147966148,-48.64864864864865,-22.22222222222222,8.280001331230324,8.394463271417314,-0.11446194018698996,-0.003067484662576687,-1,-1.0
2021-02-23,643,633,641,641,50076333,638.3858032226562,653.2,639.8,46.95838695838699,64.6455383955384,-77.14285714285715,-33.33333333333333,5.638155024255639,7.291939972552644,-1.6537849482970053,-0.013846153846153847,-1,-1.0
2021-02-24,636,625,627,625,66206750,622.4510498046875,645.6,641.2,24.736164736164763,46.27055627055628,-100.0,-89.58333333333334,1.4311991583751933,4.947643646881664,-3.5164444885064707,-0.0249609984399376,-1,1.0
2021-02-25,636,628,636,635,43231417,632.4102783203125,640.6,641.5,16.628056628056655,29.440869440869445,-72.97297297297297,-68.75,0.5649081310237989,3.194549440538518,-2.629641309514719,0.016,1,-1.0
2021-02-26,618,606,611,606,111861175,603.5285034179688,631.4,639.1,9.009009009009036,16.791076791076794,-99.99999999999999,-100.0,-4.335790497896596,0.1824134651644722,-4.518203963061069,-0.04566929133858268,-1,
